# 일본어 표제어 -> 한국어 뜻
#
# JMdict의 영어 뜻(CC BY-SA 4.0)을 참고해 한국어로 옮긴 것이므로, 이 파일도 JMdict의
# 파생 데이터에 해당한다. LICENSES.md 참고.
#
# 형식: 표제어<TAB>한국어뜻
# 검수 시에는 build/vocab_raw.csv 의 english 컬럼과 대조하면 된다.
一つ	하나, 한 개
各々	각각
呼び捨て	이름만 부름(존칭 생략)
多湿	다습함
婦女	부녀
封建的	봉건적
復習	복습
思う存分	마음껏
恥じる	부끄러워하다
折る	접다, 꺾다
採る	채택하다, 뽑다
更衣室	탈의실
有頂天	기뻐서 어쩔 줄 모름
木枯し	늦가을 찬바람
楽天的	낙천적
横道	샛길, 옆길
正座	정좌
水筒	물통
無し	없음
片付ける	치우다, 정리하다
甘える	응석부리다
群がる	떼지어 모이다
群れる	무리 짓다
背負う	짊어지다
蒸し暑い	무덥다
行き成り	갑자기
表札	문패
表通り	큰길
近付く	다가가다
迷信	미신
速達	속달
雇主	고용주
零	영, 제로
非常口	비상구
食い違う	어긋나다
鳴らす	울리다
丸々	통통함, 완전히
交ぜる	섞다
似せる	비슷하게 만들다
信じる	믿다
停留所	정류장
出欠	출결
取り戻す	되찾다
名詞	명사(품사)
外面	외면, 겉면
引き受ける	떠맡다
授ける	수여하다
日給	일급
枯れ木	고목
栄える	번영하다
段々	점점
比較的	비교적
治す	고치다, 치료하다
済む	끝나다, 해결되다
無性に	공연히, 몹시
煙草	담배
白状	자백
目覚まし	자명종
直列	직렬
神主	신주(신사 신관)
移る	옮기다, 이사하다
老いる	늙다
薬指	약손가락
行き渡る	두루 미치다
誤字	오자
辞める	그만두다
近寄る	가까이 가다
重宝	요긴함
関する	관하다
不可解	불가해함
元号	연호
先天的	선천적
刷る	인쇄하다
危ない	위험하다
取り外す	떼어내다
受け持ち	담당
吹き込む	불어넣다, 취입하다
定休日	정기 휴일
小数点	소수점
成算	성산, 성공 가망
打ち消し	부정, 打ち消し
担ぐ	메다, 짊어지다
拾う	줍다
拾得	습득
探る	더듬어 찾다, 탐색하다
易しい	쉽다
暮らす	살다, 지내다
未開	미개
次いで	이어서
消える	사라지다, 꺼지다
熱中	열중
片思い	짝사랑
申し込む	신청하다
目覚ましい	눈부시다
眠る	잠들다
突き当たる	부딪치다, 막다르다
立て直す	다시 세우다
落第	낙제
見過ごす	못 보고 넘기다
身なり	옷차림
飛び込む	뛰어들다
一昨日	그저께
交ざる	섞이다
休講	휴강
伝う	타고 가다
例文	예문
割り切る	딱 잘라 생각하다
割り込む	끼어들다
受け持つ	담당하다
囲う	둘러싸다
固まる	굳어지다
売り込む	팔아넣다, 인지도를 높이다
寝かせる	재우다, 눕히다
張り切る	의욕이 넘치다
押し問答	실랑이
有り難い	고맙다
束ねる	묶다
汚す	더럽히다
洗練	세련
洗面器	세면대야
目指す	목표로 하다
突き刺す	찌르다
耳鼻科	이비인후과
落とし物	분실물
見守る	지켜보다
見晴らし	전망
見落とす	못 보고 놓치다
超越	초월
近付ける	가까이 대다
追究	추구, 규명
逆らう	거스르다
連なる	잇닿다
飲み込む	삼키다, 이해하다
丸める	둥글게 하다
乾かす	말리다
刻一刻	시시각각
割り当てる	할당하다
差す	비치다, 꽂다
平たい	평평하다
役立つ	도움이 되다
思い付く	생각해 내다
払い込む	납입하다
担う	짊어지다, 떠맡다
欲張り	욕심쟁이
沈む	가라앉다
渡る	건너다
滴	물방울
物干し	빨래 건조대
率先	솔선
番地	번지
直進	직진
等しい	같다, 동등하다
経つ	지나다(시간)
絶える	끊어지다
編む	뜨다, 엮다
肌色	살색
見届ける	확인하다, 지켜보다
覚める	깨다
誤る	잘못하다
途切れる	끊기다
長続き	오래감
風流	풍류
鳴る	울리다
黄色い	노랗다
伸ばす	늘이다, 기르다
利口	영리함
化け物	괴물
反作用	반작용
取り上げる	집어 들다, 채택하다
取り次ぐ	전달하다, 중개하다
和む	누그러지다
女性的	여성적
宿屋	여관
寝巻	잠옷
差し伸べる	내밀다
府庁	부청
引き返す	되돌아가다
強情	고집이 셈
打ち明ける	털어놓다
拝む	절하다, 빌다
書き直す	고쳐 쓰다
最中	한창, 도중
月並	평범함, 매달
横たわる	가로놓이다, 눕다
横取り	가로챔
無茶	터무니없음
狭める	좁히다
生き返る	되살아나다
異なる	다르다
真似	흉내
荷作り	짐 꾸리기
訪れる	방문하다, 찾아오다
設ける	마련하다
調べる	조사하다
追い越す	추월하다
上等	상등, 훌륭함
不相応	걸맞지 않음
不純	불순함
余分	여분
前置き	서두
受かる	합격하다
夜更かし	밤늦게까지 안 잠
失敬	무례함, 실례
寝顔	자는 얼굴
思い直す	다시 생각하다
慣れる	익숙해지다
憎む	미워하다
指す	가리키다
捕らわれる	사로잡히다
改まる	새로워지다, 격식 차리다
散らし	전단지, 흩뿌림
散らばる	흩어지다
早退	조퇴
昨晩	어젯밤
曇る	흐려지다
気絶	기절
清い	맑다, 깨끗하다
満場	만장
男性的	남성적
祭る	모시다, 제사 지내다
組み立てる	조립하다
自活	자활
荒々しい	거칠다, 사납다
薄着	옷을 얇게 입음
補う	보충하다
覚ます	깨우다, 깨다
触れ合う	서로 닿다, 교감하다
逆立ち	물구나무서기
道順	가는 길, 순로
零下	영하
頼もしい	믿음직하다
乱す	어지럽히다
人違い	사람을 잘못 봄
付け加える	덧붙이다
修める	닦다, 익히다
億	억
卵形	달걀 모양
器用	손재주 있음
均整	균형, 균제
幼い	어리다
引き戻す	되돌리다
引っ込む	틀어박히다, 들어가다
戻る	돌아가다
投げる	던지다
捕まる	붙잡히다
放任	방임
片付く	정리되다
狭まる	좁아지다
甘やかす	응석받이로 키우다
目付き	눈매, 눈빛
立て替える	대신 지불하다
見逃す	놓치다, 눈감아주다
解熱	해열
輪ゴム	고무줄
乗り込む	올라타다, 진입하다
付き合う	사귀다, 어울리다
伺う	여쭙다, 찾아뵙다
助詞	조사(품사)
勇ましい	용감하다
召し上がる	드시다
可燃物	가연물
四捨五入	반올림
寄る	들르다, 다가가다
寝転ぶ	드러눕다
心細い	불안하다, 허전하다
情けない	한심하다
手落ち	실수, 누락
損ねる	해치다, 상하게 하다
放す	놓아주다
早寝	일찍 잠
植える	심다
極まる	극에 달하다
浅い	얕다
無い	없다
無精	게으름
燃やす	태우다
留める	멈추다, 고정하다
着席	착석
苦しむ	괴로워하다
薄弱	박약함
見比べる	견주어 보다
責める	책망하다
超特急	초특급
陸橋	육교
下調べ	사전 조사
乱雑	난잡함
余談	여담
冊	~권
初夢	새해 첫 꿈
取り返す	되찾다
引き付ける	끌어당기다
手伝う	돕다
捨てる	버리다
散らかる	어지러지다
気難しい	까다롭다
治まる	가라앉다, 진정되다
治める	다스리다
混む	붐비다
湿る	축축해지다
祈る	기도하다
経度	경도
被る	쓰다, 뒤집어쓰다
見失う	놓치다, 시야에서 잃다
見張る	망보다, 감시하다
見限る	단념하다
述べる	말하다, 서술하다
降参	항복
雨具	우비
乗り遅れる	놓치다(차를)
付け込む	약점을 이용하다
仲買	중개
何処	어디
値切る	값을 깎다
全速力	전속력
内気	내성적임
同類	같은 부류
塩辛い	짜다
増す	늘다, 늘리다
寄り道	들렀다 감
寝かす	재우다
弱虫	겁쟁이
思い込む	굳게 믿다
払い戻す	환불하다
押し売り	강매
散らす	흩뜨리다
更ける	깊어지다(밤이)
月初め	월초
枚	~장
流れる	흐르다
溶け込む	녹아들다
狭い	좁다
画数	획수
省みる	돌이켜보다
立て札	팻말
絶交	절교
著しい	현저하다
言い返す	말대꾸하다
遅れる	늦다
雨降り	비 내림
引き伸す	늘이다, 확대하다
いい加減	적당함, 무책임함
お仕舞い	끝, 마지막
お坊さん	스님
お宅	댁
お手伝いさん	가사도우미
お歳暮	연말 선물
お祖母さん	할머니
お祖父さん	할아버지
お祝い	축하
お節介	참견, 오지랖
お節料理	오세치 요리
お腹	배
お菓子	과자
お袋	어머니
お負け	덤
くっ付く	달라붙다
くっ付ける	붙이다
すき焼	스키야키
その内	머지않아
だらし無い	칠칠치 못하다
ちり取	쓰레받기
とんでも無い	당치도 않다
どうも有難う	대단히 감사합니다
どの位	얼마나
どの辺	어느 근처
ぶっきら棒	무뚝뚝함
ほうれん草	시금치
やり取り	주고받음
やり直し	다시 함
やり直す	다시 하다
やり過ごす	그냥 보내다
ガラス戸	유리문
ジェット機	제트기
ノーベル賞	노벨상
バス停	버스 정류장
プロ野球	프로야구
一向	전혀
一晩中	밤새도록
一緒に	함께
一般に	일반적으로
下等	하등함
不幸せ	불행함
不燃物	불연물
並べる	늘어놓다
丸	동그라미
丸っきり	전혀
丸で	마치, 전혀
丸まる	둥그렇게 되다
丸め込む	구슬리다
乗り越し	목적지를 지나침
乗り越す	지나쳐 가다
乾く	마르다
予て	진작부터
予め	미리
予備校	입시학원
二十歳	스무 살
互い違い	번갈아
亡くす	여의다, 잃다
亡くなる	돌아가시다
人参	당근
人差し指	집게손가락
今晩は	안녕하세요(저녁 인사)
今更	이제 와서
仏	부처
仕舞う	끝내다, 치우다
仕舞った	아차, 큰일 났다
他者	타자, 남
他面	다른 면
付け	외상, 청구서
付ける	붙이다
付け足す	덧붙이다
仮	임시
仮令	설령
仮名	가나(문자)
仮説	가설
仲直り	화해
任せる	맡기다
伝える	전하다
似顔絵	초상화
位	지위, 자리
体付き	몸매, 체격
何処か	어딘가
何卒	아무쪼록
何故か	왠지
何故なら	왜냐하면
何故ならば	왜냐하면
何気無く	무심코
余所	딴 곳, 남의 집
余程	상당히, 어지간히
作り笑い	억지웃음
例題	예제
係わる	관계되다
保育園	어린이집
修行	수행
個	~개
倒置	도치
健気	기특함, 갸륵함
偶々	우연히, 이따금
偶に	가끔
備え付ける	비치하다
備考	비고
傾く	기울다
傾ける	기울이다
傾げる	갸웃하다
優れる	뛰어나다
先程	아까, 조금 전
全	전~, 모든
全く	전혀, 정말
全て	모두, 전부
全快	완쾌
公	공적임, 관(公)
共	~들(복수 접미사)
共々	함께
共和国	공화국
内向的	내향적
内緒	비밀
円周	원주
再	재~, 다시
再来月	다다음 달
再来週	다다음 주
冬期	동계, 겨울철
冷ます	식히다
凍える	얼어붙다, 곱다
分数	분수(수학)
初めて	처음으로
判	도장, 판
判子	도장
利く	듣다, 잘 작동하다
到頭	드디어, 마침내
刻一刻と	시시각각으로
前売り券	예매권
前略	전략(편지 서두 생략)
副	부(副), 보조
副詞	부사
割く	찢다, 할애하다
割り引く	할인하다
割り算	나눗셈
割れる	깨지다
割合に	비교적
力一杯	힘껏
努めて	되도록, 애써
労る	위로하다, 보살피다
包み紙	포장지
化合	화합(化合)
単数	단수
占める	차지하다
厚かましい	뻔뻔하다
厚意	후의, 호의
厚着	옷을 두껍게 입음
原	들판
参考書	참고서
反る	휘다, 젖혀지다
反日	반일
反面	반면
取り入れる	받아들이다, 거둬들이다
取り巻く	둘러싸다
取り除く	제거하다
取れる	떨어지다, 잡히다
受動的	수동적
可愛がる	귀여워하다
可愛らしい	사랑스럽다
可笑しな	이상한, 우스운
各	각~
各国	각국
各地	각지
各種	각종
向く	향하다
向け	~용, ~대상
向ける	향하게 하다
向こう側	건너편
君	자네, 너
否	아니
否々	아니아니
含める	포함시키다
吹き出物	뾰루지
吹く	불다
和	합(合), 화(和)
和布	미역
和式	일본식
和語	일본 고유어
咲く	피다
品詞	품사
善くも	잘도, 감히
善し悪し	좋고 나쁨
四つ角	네거리
因る	기인하다, 의하다
図示	도시(그림으로 보임)
埋める	묻다, 메우다
場違い	그 자리에 어울리지 않음
変移	변이
夏期	하계, 여름철
夜具	침구
夜更け	깊은 밤
大層	매우, 대단히
天気予報	일기예보
天辺	꼭대기
夫れ夫れ	각각
奥さん	부인, 사모님
委ねる	맡기다
学割	학생 할인
実	열매
客間	응접실
容易い	쉽다
寄り集まる	모여들다
寄越す	보내다
富者	부자
寒暖計	한란계
寝ぼける	잠에 취하다
寝付く	잠들다
寝冷え	자다가 배탈 남
寝坊	늦잠꾸러기
寝息	잠결 숨소리
寝相	잠버릇
寝言	잠꼬대
寝返る	배반하다, 돌아눕다
寝過ごす	늦잠 자다
対	대(對), 짝
導く	이끌다
小数	소수(小數)
居る	있다
届く	닿다, 도착하다
届ける	보내다, 신고하다
工学部	공학부
左様なら	안녕히 가세요
差し当たり	당분간, 우선
巻く	감다, 말다
帯	오비, 띠
常用漢字	상용한자
平ら	평평함
平行	평행
年取った	나이 든
床屋	이발소
式	식(式)
引き抜く	뽑아내다, 빼내다
引き算	뺄셈
引っ付く	달라붙다
当てはまる	들어맞다
当てはめる	적용하다
彼	그, 저것
彼処	저기
後天的	후천적
得する	이득을 보다
御	존경 접두사
御中	귀중(貴中)
必読	필독
忘れる	잊다
念力	염력
思い付き	착상, 생각
思い当たる	짚이다
性	성질, 성(性)
恐るべき	무서운, 두려운
恥さらし	망신
恥知らず	뻔뻔함
恵まれる	혜택받다, 복 받다
恵む	베풀다
悪賢い	교활하다
悲観的	비관적
情け深い	인정이 많다
感化	감화
憎らしい	얄밉다
成るべく	되도록
成程	과연, 그렇군
手応え	손맛, 반응
手際良く	솜씨 좋게
打ち合せ	사전 협의
打ち合わせる	맞부딪치다, 협의하다
打つかる	부딪치다
打付ける	부딪치다, 내던지다
打算的	타산적
折り畳み	접이식
折れる	부러지다, 접히다
折角	모처럼
抜く	빼다, 뽑다
抜ける	빠지다
抱く	안다
抱っこ	안아줌
押し入れ	벽장
招く	초대하다, 초래하다
持て成し	대접
持て成す	대접하다
指切り	손가락 걸고 약속
指差す	손가락질하다
捨て子	버려진 아이
掃く	쓸다
損する	손해 보다
支える	떠받치다, 지지하다
改札口	개찰구
放れる	풀리다, 벗어나다
敗れる	패하다
散らかす	어지르다
敬う	공경하다
敬具	경구(편지 맺음말)
整える	정돈하다, 갖추다
整数	정수
新学期	새 학기
日替り	날마다 바뀜
旧	구~, 옛
明晩	내일 저녁
易い	쉽다
暑中見舞	복중 안부 인사
暖める	데우다
書き初め	새해 첫 글씨
書き取り	받아쓰기
書き取る	받아 적다
書き言葉	문어, 글말
最早	이미, 이제는
有り触れた	흔해빠진
有り難う	고맙습니다
朝御飯	아침밥
未	아직 ~않음
未だ	아직
末期的	말기적
本当に	정말로
本箱	책장
札	지폐, 패
束の間	잠깐 사이
根掘り葉掘り	꼬치꼬치
案	안, 생각
極めて	극히
構える	차리다, 자세를 취하다
様	~님
横着	게으름, 뻔뻔함
欠く	빠뜨리다, 이가 빠지다
欠ける	이지러지다, 결여되다
欠伸	하품
欠片	조각, 파편
次	다음
次々に	잇달아
次女	차녀
欧米	구미(유럽과 미국)
欲深	욕심이 많음
歌留多	가루타(카드놀이)
歯向う	대들다, 맞서다
段落	단락
殺気	살기
気を付ける	조심하다
気違い	미친 짓, 광기
求める	구하다, 원하다
沈める	가라앉히다
沸く	끓다
況して	하물며
法	법
法学部	법학부
泣き顔	우는 얼굴
泣く	울다
泥々	질척질척함
注意深い	주의 깊다
流	유파, 방식
流石	과연, 역시
流行る	유행하다
浅はか	얕음, 천박함
浮かれる	들뜨다
浮き浮き	신이 나서
浮く	뜨다
消火器	소화기
消防署	소방서
消防車	소방차
涼む	바람을 쐬다
深さ	깊이
清々しい	상쾌하다
清書	정서(깨끗이 옮겨 씀)
済ませる	끝내다
済まない	미안하다
済みません	죄송합니다
温い	미지근하다
温もり	온기
湯飲み	찻잔
満更	반드시 ~인 것은 아님
準える	본뜨다, 견주다
準急	준급행
溶く	풀다, 개다
溶ける	녹다
漁る	뒤지다, 찾아다니다
漢和	한자와 일본어
灯す	불을 켜다
灰	재
点く	켜지다, 불붙다
点ける	켜다
無くす	잃다, 없애다
無くなる	없어지다
無恥	파렴치함
無機物	무기물
無生物	무생물
無茶苦茶	엉망진창
然うして	그리고, 그래서
然して	그리고
然も	게다가
焼きもち	질투, 구운 떡
焼く	굽다, 태우다
焼ける	타다, 구워지다
煙い	맵다(연기가)
煙たい	연기가 맵다, 어렵다
煙る	연기가 나다
照れる	쑥스러워하다
燥ぐ	들떠서 떠들다
物覚え	기억력
状	모양, 상태
独りでに	저절로
独楽	팽이
猫背	새우등
率	비율
玉ねぎ	양파
理学部	이학부
生憎	공교롭게도
用心深い	조심성 있다
申し分無い	나무랄 데 없다
畜生	짐승, 제기랄
略す	줄이다, 생략하다
番目	~번째
畳	다다미, ~장
畳む	개다, 접다
発展途上国	개발도상국
発条	용수철, 스프링
白粉	분(화장품)
的	~적(的)
目処	목표, 전망
目茶苦茶	엉망진창
直ぐ	곧, 바로
直に	직접, 곧
直る	고쳐지다, 낫다
相応しい	어울리다
省く	생략하다
看る	돌보다, 간호하다
真っ直ぐ	똑바름
真ん丸	완전한 동그라미
真似る	흉내 내다
真四角	정사각형
真逆	설마
眠たい	졸리다
石	돌
